customer_id,gender,age,region,customer_segment,contract_type,tenure_months,monthly_fee,total_spent,internet_service,tv_service,streaming_service,support_calls,complaints,payment_method,last_payment_delay,digital_usage_score,marketing_score,preferred_contact_hour,internal_campaign_code,churn
NT-000027,Femenino,55.0,,Masivo,Mensual,37,109.89,3928.84,Fibra,No,Sí,6,2,Efectivo,5,75.1,67.2,19,CMP-A,1
NT-000028,Femenino,37.0,Centro,Familia,Anual,19,69.73,1407.7,DSL,No,No,1,0,Débito automático,22,55.0,70.1,13,CMP-B,1
NT-000029,Femenino,43.0,Lima,Joven digital,Mensual,40,111.51,4878.99,Fibra,Sí,Sí,1,0,Transferencia,15,94.9,44.4,15,CMP-B,0
NT-000030,Masculino,48.0,Sur,Joven digital,Bianual,52,116.86,5269.79,Fibra,No,Sí,0,1,Débito automático,20,85.3,80.2,20,CMP-D,0
NT-000031,Masculino,40.0,Centro,Masivo,Anual,40,35.74,1284.12,Sin internet,No,No,1,2,Débito automático,3,81.9,75.0,20,CMP-D,0
NT-000032,Masculino,,Oriente,Masivo,Mensual,24,115.72,2710.87,Fibra,Sí,No,0,0,Transferencia,5,73.2,37.6,8,CMP-A,0
NT-000033,Femenino,49.0,Oriente,Familia,Anual,16,53.85,880.4,Sin internet,No,No,0,0,Tarjeta,6,64.1,67.0,17,CMP-B,0
NT-000034,Femenino,37.0,Lima,Masivo,Bianual,12,103.31,977.54,DSL,Sí,Sí,1,0,Tarjeta,16,57.7,56.9,19,CMP-A,0
NT-000035,Femenino,29.0,Norte,Masivo,Mensual,68,77.79,5004.68,DSL,Sí,No,1,0,Efectivo,21,65.9,58.0,20,CMP-D,0
NT-000036,Femenino,33.0,Norte,Joven digital,Anual,39,104.85,3704.36,DSL,Sí,Sí,1,0,Tarjeta,5,95.5,56.8,18,CMP-B,1
NT-000037,Femenino,46.0,Lima,Masivo,Bianual,25,130.14,2620.1,Fibra,Sí,Sí,0,0,Transferencia,2,64.5,74.0,9,CMP-D,0
NT-000038,Femenino,38.0,Lima,Masivo,Mensual,48,102.16,4150.47,DSL,Sí,Sí,3,1,Tarjeta,1,71.7,87.8,17,CMP-A,0
NT-000039,Femenino,42.0,Oriente,Familia,Bianual,62,81.92,4572.44,,Sí,No,1,0,Débito automático,2,48.8,69.2,18,CMP-C,0
NT-000040,Masculino,47.0,Lima,Joven digital,Mensual,19,92.07,1651.57,DSL,Sí,No,3,0,Tarjeta,10,39.0,30.9,14,CMP-A,1
NT-000041,Femenino,33.0,Norte,Masivo,Anual,38,116.48,4473.01,Fibra,No,Sí,0,0,Débito automático,10,75.1,74.2,8,CMP-C,0
NT-000042,Masculino,48.0,Sur,Masivo,Anual,39,108.88,4096.87,Fibra,No,Sí,3,1,Transferencia,2,77.6,68.4,10,CMP-A,0
NT-000043,Masculino,43.0,Lima,Familia,Anual,78,112.11,8799.91,Fibra,Sí,Sí,3,1,Efectivo,5,70.3,55.3,11,CMP-A,0
NT-000044,Femenino,22.0,Norte,Masivo,Mensual,25,116.11,2734.02,Fibra,No,Sí,1,1,Tarjeta,9,49.6,65.5,19,CMP-A,1
NT-000045,Masculino,57.0,Oriente,Masivo,Anual,16,83.09,1184.07,DSL,No,Sí,3,0,Débito automático,2,66.6,80.4,9,CMP-C,0
NT-000046,Masculino,31.0,Norte,Joven digital,Mensual,41,106.93,4064.69,DSL,Sí,Sí,0,0,Transferencia,4,74.0,56.6,17,CMP-C,0
NT-000047,Femenino,18.0,Lima,Joven digital,Mensual,51,88.36,4455.38,DSL,Sí,No,2,1,Tarjeta,2,56.7,40.8,10,CMP-C,0
NT-000048,Femenino,24.0,Lima,Premium,Mensual,36,123.0,4482.37,DSL,Sí,Sí,3,1,Tarjeta,3,41.7,33.4,18,CMP-A,0
NT-000049,Masculino,25.0,Oriente,Masivo,Anual,81,94.73,7133.32,Fibra,No,No,0,0,Débito automático,5,68.2,60.6,8,CMP-B,0
NT-000050,Femenino,39.0,Lima,Masivo,Mensual,25,131.63,2879.28,Fibra,Sí,Sí,1,0,Transferencia,6,81.8,64.7,11,CMP-B,0
NT-000051,Femenino,34.0,Norte,Joven digital,Mensual,36,132.73,4603.85,Fibra,Sí,Sí,3,1,Débito automático,2,86.2,60.8,9,CMP-D,0
NT-000052,Femenino,34.0,Lima,Joven digital,Bianual,10,113.06,1100.59,Fibra,No,Sí,0,1,Tarjeta,9,66.8,60.1,15,CMP-C,0
NT-000053,Masculino,46.0,Lima,Masivo,Mensual,15,76.21,1173.2,,No,No,0,0,Efectivo,20,74.1,,18,CMP-A,0
NT-000054,Masculino,42.0,Oriente,Joven digital,Mensual,19,138.49,2348.41,Fibra,Sí,Sí,0,0,Efectivo,14,93.3,74.8,13,CMP-A,1
NT-000055,Masculino,42.0,Norte,Masivo,Mensual,28,115.7,2893.79,Fibra,No,Sí,0,0,Transferencia,3,54.4,64.4,14,CMP-B,0
NT-000056,Masculino,43.0,Oriente,Familia,Mensual,11,76.17,831.95,DSL,Sí,No,1,1,Transferencia,11,62.9,73.9,16,CMP-A,0
NT-000057,Femenino,46.0,Lima,Familia,Anual,47,86.91,,Fibra,No,No,1,0,Efectivo,3,92.1,65.0,13,CMP-B,0
NT-000058,Masculino,18.0,Norte,Masivo,Mensual,18,96.08,1571.23,Fibra,No,No,0,0,Transferencia,2,52.9,47.3,17,CMP-D,1
NT-000059,Femenino,33.0,Sur,Premium,Mensual,115,153.12,18098.14,Fibra,No,Sí,0,1,Transferencia,6,89.3,61.3,11,CMP-A,0
NT-000060,Femenino,18.0,Norte,Premium,Bianual,18,135.61,2060.26,DSL,Sí,Sí,3,0,Débito automático,8,86.3,64.8,10,CMP-C,1
NT-000061,Masculino,,Lima,Masivo,Anual,34,94.43,3480.1,DSL,Sí,No,2,2,Tarjeta,3,58.7,40.9,10,CMP-B,1
NT-000062,Femenino,38.0,Sur,Masivo,Anual,31,77.87,2165.61,Fibra,No,No,0,0,Transferencia,1,66.9,61.9,10,CMP-C,0
NT-000063,Masculino,52.0,Lima,Joven digital,Bianual,14,99.62,1395.62,Fibra,Sí,No,0,1,Transferencia,5,95.5,88.6,8,CMP-C,0
NT-000064,Masculino,53.0,,Masivo,Bianual,28,35.0,913.74,,No,No,0,1,Tarjeta,6,59.2,78.1,8,CMP-C,0
NT-000065,Masculino,41.0,Oriente,Masivo,Mensual,28,96.92,2602.48,DSL,Sí,Sí,4,1,Transferencia,0,26.7,63.6,8,CMP-B,0
NT-000066,Masculino,31.0,Lima,Masivo,Anual,57,100.57,5283.09,DSL,Sí,No,1,0,Transferencia,7,60.5,69.6,10,CMP-D,0
NT-000067,Masculino,44.0,Lima,Premium,Anual,42,162.52,6825.57,Fibra,Sí,No,1,0,Tarjeta,6,,90.1,16,CMP-B,0
NT-000068,Femenino,31.0,Lima,Masivo,Mensual,47,107.11,4609.73,DSL,Sí,Sí,1,2,Transferencia,10,73.1,51.4,11,CMP-A,0
NT-000069,Femenino,38.0,Lima,Familia,Mensual,56,36.25,1826.78,Sin internet,No,No,3,0,Tarjeta,1,48.8,48.2,15,CMP-A,0
NT-000070,Femenino,51.0,Lima,Masivo,Mensual,47,107.01,5366.11,Fibra,Sí,No,1,0,Transferencia,3,68.0,78.9,8,CMP-A,0
NT-000071,Femenino,31.0,Centro,Masivo,Anual,38,94.26,3374.33,DSL,No,Sí,3,0,Efectivo,2,76.7,71.2,18,CMP-B,0
NT-000072,Femenino,48.0,Lima,Familia,Anual,19,97.93,1661.02,Fibra,No,Sí,2,1,Transferencia,2,71.1,61.1,12,CMP-D,0
NT-000073,Masculino,47.0,Centro,Masivo,Anual,36,66.85,2011.15,DSL,No,No,1,2,Efectivo,4,39.1,71.2,13,CMP-A,1
NT-000074,Femenino,26.0,Lima,Masivo,Mensual,16,124.91,2139.64,Fibra,No,Sí,3,3,Transferencia,10,,62.6,16,CMP-A,1
NT-000075,Femenino,51.0,Lima,Masivo,Mensual,30,102.59,2774.13,Fibra,No,Sí,0,0,Débito automático,23,68.8,53.5,20,CMP-C,0
NT-000076,Femenino,47.0,Lima,Familia,Mensual,27,35.26,1032.3,Sin internet,No,No,1,0,Transferencia,14,78.4,54.9,18,CMP-C,1
NT-000077,Femenino,39.0,,Masivo,Anual,28,105.12,2848.94,DSL,Sí,Sí,3,1,Débito automático,2,41.1,68.6,13,CMP-C,0
NT-000078,Masculino,28.0,Norte,Masivo,Bianual,11,96.55,1008.95,Fibra,No,No,0,0,Débito automático,2,70.2,72.3,12,CMP-A,1
NT-000079,Masculino,27.0,Lima,Masivo,Bianual,2,36.37,69.24,Sin internet,No,No,1,1,Débito automático,1,69.6,89.2,12,CMP-A,1
NT-000080,Masculino,31.0,Sur,Masivo,Bianual,23,127.69,3216.21,Fibra,Sí,Sí,0,0,Débito automático,4,70.7,66.0,9,CMP-B,0
NT-000081,Masculino,45.0,Norte,Masivo,Bianual,65,99.47,5085.44,Fibra,No,No,0,0,Débito automático,0,54.3,62.8,12,CMP-C,0
NT-000082,Femenino,26.0,Lima,Joven digital,Bianual,34,104.65,3398.0,,Sí,No,1,1,Débito automático,3,34.2,81.9,17,CMP-C,0
NT-000083,Masculino,44.0,Sur,Masivo,Mensual,62,110.86,,Fibra,No,Sí,3,0,Débito automático,2,94.8,81.9,11,CMP-D,0
NT-000084,Femenino,22.0,,Masivo,Mensual,16,108.63,,Fibra,Sí,No,0,1,Tarjeta,3,75.7,,13,CMP-C,1
NT-000085,Femenino,35.0,Lima,Joven digital,Mensual,23,218.56,1874.53,DSL,No,No,14,0,Débito automático,75,87.5,47.5,8,CMP-B,0
NT-000086,Femenino,39.0,Norte,Familia,Mensual,119,104.06,11409.36,Fibra,Sí,No,1,1,Tarjeta,5,85.9,56.9,11,CMP-C,0
NT-000087,Masculino,70.0,Lima,Masivo,Mensual,17,82.08,1330.01,Fibra,No,No,0,2,Efectivo,4,81.0,52.9,8,CMP-B,0
NT-000088,Femenino,20.0,,Masivo,Mensual,46,129.25,5578.96,Fibra,Sí,Sí,1,0,Tarjeta,3,,64.6,14,CMP-A,1
NT-000089,Femenino,57.0,Centro,Masivo,Bianual,46,99.69,3888.94,DSL,No,Sí,2,0,Transferencia,5,69.3,62.9,11,CMP-C,0
NT-000090,Masculino,40.0,Lima,Premium,Mensual,43,165.25,6869.1,Fibra,Sí,Sí,1,1,Tarjeta,3,93.5,89.7,20,CMP-B,0
NT-000091,Femenino,43.0,Sur,Masivo,Bianual,47,111.13,5171.53,Fibra,No,Sí,0,0,Transferencia,4,73.2,49.7,15,CMP-B,0
NT-000092,Masculino,40.0,Oriente,Masivo,Anual,17,73.96,1134.17,DSL,Sí,No,1,1,Transferencia,2,90.5,58.2,12,CMP-C,0
NT-000093,Femenino,44.0,Norte,Joven digital,Anual,24,126.47,3250.03,Fibra,Sí,Sí,0,1,Efectivo,8,57.5,70.5,14,CMP-A,1
NT-000094,Femenino,36.0,Centro,Masivo,Anual,2,138.1,285.45,Fibra,Sí,Sí,1,0,Efectivo,2,47.9,72.4,20,CMP-A,0
NT-000095,Femenino,57.0,Centro,Masivo,Mensual,80,78.89,6305.37,DSL,No,Sí,0,0,Transferencia,5,76.8,32.2,10,CMP-B,0
NT-000096,Masculino,32.0,Oriente,Masivo,Anual,47,102.8,4823.04,DSL,Sí,Sí,4,2,Tarjeta,2,49.7,43.4,11,CMP-C,0
NT-000097,Femenino,53.0,,Joven digital,Mensual,19,108.51,1942.33,Fibra,No,Sí,0,1,Débito automático,7,100.0,,15,CMP-D,0
NT-000098,Femenino,30.0,Lima,Joven digital,Bianual,16,80.72,1317.22,DSL,Sí,No,2,0,Débito automático,4,90.1,90.8,9,CMP-C,0
NT-000099,Femenino,37.0,Norte,Familia,Mensual,66,74.23,5143.91,DSL,No,No,5,2,Efectivo,8,85.8,92.0,14,CMP-B,1
NT-000100,Masculino,24.0,Norte,Familia,Mensual,18,130.99,2349.71,Fibra,Sí,Sí,5,1,Efectivo,0,85.3,,10,CMP-B,0
NT-000101,Masculino,44.0,Lima,Masivo,Anual,19,108.9,1862.36,DSL,Sí,Sí,1,0,Débito automático,2,48.2,63.5,19,CMP-B,0
NT-000102,Masculino,57.0,Norte,Premium,Anual,14,113.21,1485.44,DSL,Sí,No,1,0,Transferencia,1,37.1,52.8,18,CMP-B,1
NT-000103,Femenino,37.0,Lima,Familia,Mensual,52,90.19,4596.82,DSL,Sí,Sí,1,0,Débito automático,24,84.4,75.4,8,CMP-C,1
NT-000104,Masculino,35.0,Oriente,Familia,Anual,61,107.36,6540.07,,Sí,Sí,2,1,Transferencia,2,39.5,84.0,14,CMP-D,0
NT-000105,Masculino,24.0,Lima,Familia,Mensual,27,100.45,2534.71,DSL,Sí,Sí,0,1,Débito automático,1,85.8,83.8,10,CMP-C,0
NT-000106,Masculino,35.0,Lima,Masivo,Anual,62,58.54,3267.71,Sin internet,No,No,0,0,Débito automático,5,72.0,69.6,15,CMP-B,0
NT-000107,Femenino,18.0,Lima,Masivo,Mensual,41,88.96,3832.99,DSL,No,No,1,1,Efectivo,1,60.9,52.1,15,CMP-B,1
NT-000108,Femenino,26.0,Lima,Masivo,Mensual,13,104.92,1179.74,DSL,Sí,No,2,1,Tarjeta,9,68.6,64.5,20,CMP-A,1
NT-000109,Femenino,41.0,,Masivo,Mensual,76,63.54,4221.1,DSL,No,No,3,1,Transferencia,10,69.0,82.4,10,CMP-D,0
NT-000110,Masculino,55.0,Lima,Joven digital,Mensual,14,92.12,1092.49,DSL,Sí,No,2,0,Transferencia,1,,58.9,14,CMP-D,0
NT-000111,Femenino,75.0,Lima,Masivo,Mensual,28,49.84,1219.62,Sin internet,No,No,4,1,Tarjeta,2,83.4,43.4,20,CMP-A,1
NT-000112,Femenino,30.0,Lima,Masivo,Mensual,27,133.83,3712.11,Fibra,Sí,Sí,1,1,Débito automático,5,92.9,64.0,9,CMP-A,0
NT-000113,Femenino,57.0,Lima,Premium,Mensual,24,158.81,3924.48,,Sí,Sí,0,0,Tarjeta,9,74.3,61.7,11,CMP-A,0
NT-000114,Masculino,41.0,Lima,Familia,Mensual,5,116.51,544.58,DSL,Sí,Sí,1,2,Débito automático,5,53.0,37.9,17,CMP-D,1
NT-000115,Femenino,36.0,Lima,Joven digital,Anual,104,112.0,,Fibra,No,Sí,1,0,Efectivo,2,99.6,77.9,9,CMP-A,1
NT-000116,Masculino,44.0,Lima,Masivo,Mensual,6,91.15,,DSL,No,Sí,1,1,Tarjeta,1,31.7,64.3,10,CMP-A,1
NT-000117,Masculino,39.0,Lima,Joven digital,Anual,79,76.16,5153.62,DSL,No,Sí,1,1,Tarjeta,15,76.7,95.0,20,CMP-B,0
NT-000118,Masculino,39.0,Lima,Familia,Bianual,16,47.8,837.66,Sin internet,No,No,1,0,Débito automático,5,73.1,52.8,15,CMP-B,0
NT-000119,Femenino,33.0,Lima,Familia,Mensual,20,106.66,2210.49,Fibra,Sí,No,1,2,Tarjeta,17,59.6,72.2,8,CMP-B,1
NT-000120,Masculino,20.0,Centro,Joven digital,Bianual,74,76.18,5438.94,DSL,No,No,2,1,Tarjeta,6,84.6,84.8,19,CMP-C,0
NT-000121,Masculino,18.0,Oriente,Joven digital,Mensual,44,111.12,4303.0,Fibra,Sí,No,1,0,Transferencia,16,79.6,73.1,14,CMP-A,0
NT-000122,Masculino,46.0,Oriente,Masivo,Mensual,10,128.63,1188.87,Fibra,Sí,Sí,0,0,Débito automático,2,63.8,50.4,14,CMP-A,1
NT-000123,Femenino,34.0,Norte,Familia,Anual,10,126.59,1128.59,Fibra,Sí,Sí,1,1,Transferencia,2,86.4,58.7,20,CMP-A,0
NT-000124,Femenino,30.0,Norte,Premium,Anual,39,424.07,5578.84,Fibra,Sí,No,16,0,Débito automático,62,55.7,68.3,12,CMP-C,0
NT-000125,Femenino,38.0,Lima,Masivo,Bianual,13,92.21,1152.81,Fibra,No,No,0,0,Débito automático,1,85.0,73.5,12,CMP-C,0
NT-000126,Masculino,48.0,Sur,Masivo,Mensual,45,73.9,3046.56,DSL,Sí,No,3,1,Débito automático,0,32.3,50.5,15,CMP-B,1
NT-000127,Femenino,40.0,Centro,Masivo,Anual,48,110.12,4430.48,DSL,Sí,Sí,2,0,Tarjeta,2,66.3,85.7,11,CMP-D,0
NT-000128,Femenino,29.0,Sur,Masivo,Mensual,17,104.72,1939.12,Fibra,No,Sí,3,2,Débito automático,6,72.7,59.9,9,CMP-C,0
NT-000129,Femenino,54.0,,Premium,Mensual,21,117.08,2352.04,Fibra,No,No,1,0,Transferencia,1,63.9,38.9,9,CMP-D,0
NT-000130,Masculino,59.0,Norte,Familia,Mensual,40,99.8,3880.07,Fibra,Sí,No,1,0,Efectivo,1,77.8,63.1,11,CMP-D,0
NT-000131,Femenino,44.0,Centro,Masivo,Bianual,17,44.55,689.52,Sin internet,No,No,0,1,Tarjeta,2,60.8,74.2,9,CMP-B,0
NT-000132,Masculino,51.0,Sur,Masivo,Mensual,34,41.13,1161.61,Sin internet,No,No,2,0,Débito automático,1,77.8,70.4,14,CMP-C,0
NT-000133,Masculino,54.0,Lima,Joven digital,Anual,120,107.81,12085.53,Fibra,Sí,Sí,0,0,Transferencia,2,88.4,77.3,20,CMP-C,0
NT-000134,Femenino,53.0,Oriente,Masivo,Anual,42,123.55,4760.35,Fibra,Sí,Sí,1,0,Tarjeta,3,78.8,90.6,11,CMP-B,0
NT-000135,Masculino,46.0,Lima,Joven digital,Anual,24,119.52,2838.84,Fibra,Sí,No,1,0,Transferencia,1,84.4,57.7,8,CMP-C,0
NT-000136,Femenino,46.0,Oriente,Familia,Anual,111,100.94,11242.72,,Sí,Sí,1,1,Tarjeta,2,,61.4,8,CMP-B,0
NT-000137,Masculino,45.0,Sur,Familia,Bianual,55,110.51,6038.86,Fibra,No,Sí,0,0,Efectivo,4,67.5,89.2,10,CMP-A,0
NT-000138,Femenino,24.0,Lima,Masivo,Mensual,14,121.39,,Fibra,No,Sí,1,0,Débito automático,1,75.7,40.1,15,CMP-A,0
NT-000139,Masculino,47.0,Centro,Familia,Mensual,16,101.16,1725.8,Fibra,No,No,1,0,Tarjeta,1,69.4,63.8,14,CMP-B,0
NT-000140,Femenino,20.0,Lima,Familia,Anual,7,121.2,,Fibra,No,Sí,1,0,Transferencia,2,88.7,88.9,13,CMP-D,0
NT-000141,Femenino,28.0,Sur,Masivo,Mensual,40,87.05,3541.0,Fibra,No,Sí,3,1,Tarjeta,3,73.4,81.0,17,CMP-A,0
NT-000142,Masculino,55.0,Sur,Joven digital,Mensual,4,109.6,427.25,Fibra,No,No,1,1,Transferencia,0,85.6,,13,CMP-C,0
NT-000143,Masculino,49.0,Norte,Joven digital,Mensual,111,77.73,6962.8,DSL,No,No,3,2,Transferencia,6,,69.7,16,CMP-A,0
NT-000144,Masculino,57.0,Sur,Familia,Mensual,26,131.15,3168.42,Fibra,Sí,No,0,0,Débito automático,3,86.1,54.0,20,CMP-C,1
NT-000145,Femenino,34.0,Lima,Masivo,Mensual,57,101.96,5110.01,Fibra,Sí,No,2,2,Tarjeta,2,63.3,81.2,10,CMP-A,0
NT-000146,Femenino,23.0,Lima,Masivo,Mensual,24,74.13,1701.2,DSL,No,Sí,2,0,Débito automático,0,46.4,44.8,9,CMP-B,0
NT-000147,Femenino,35.0,Lima,Joven digital,Bianual,39,109.06,3762.63,Fibra,Sí,No,0,0,Débito automático,5,100.0,60.2,10,CMP-D,0
NT-000148,Masculino,,Lima,Masivo,Mensual,29,84.52,2407.94,DSL,Sí,No,0,1,Transferencia,10,72.5,70.1,10,CMP-B,0
NT-000149,Femenino,39.0,,Masivo,Bianual,33,47.88,1593.74,Sin internet,No,No,3,0,Transferencia,2,76.7,64.4,18,CMP-D,0
NT-000150,Femenino,53.0,Lima,Familia,Bianual,69,103.67,7326.7,Fibra,No,No,2,1,Débito automático,16,78.8,73.9,19,CMP-A,0
NT-000151,Masculino,33.0,Lima,Masivo,Mensual,91,104.21,9989.02,DSL,Sí,Sí,2,0,Transferencia,3,60.6,68.5,15,CMP-A,0
NT-000152,Masculino,43.0,Lima,Joven digital,Anual,86,102.83,7275.26,DSL,Sí,Sí,1,0,Transferencia,4,65.8,92.0,9,CMP-A,0
NT-000153,Femenino,25.0,Sur,Premium,Anual,120,144.7,,DSL,Sí,Sí,0,0,Transferencia,8,73.7,75.9,19,CMP-A,1
NT-000154,Masculino,44.0,Lima,Joven digital,Anual,18,124.69,,Fibra,Sí,Sí,2,1,Tarjeta,6,97.0,66.4,19,CMP-B,0
NT-000155,Femenino,38.0,Sur,Joven digital,Mensual,42,90.94,3860.22,Fibra,No,No,0,0,Débito automático,1,79.0,75.0,13,CMP-D,0
NT-000156,Masculino,28.0,Lima,Joven digital,Mensual,19,136.33,2475.55,Fibra,Sí,Sí,1,0,Débito automático,2,100.0,59.2,16,CMP-A,1
NT-000157,Femenino,35.0,Lima,Masivo,Mensual,67,53.34,3367.37,Sin internet,No,No,0,0,Transferencia,9,59.0,74.5,15,CMP-B,0
NT-000158,Masculino,36.0,Norte,Masivo,Anual,14,114.76,1503.85,,Sí,Sí,3,0,Transferencia,6,41.1,65.2,14,CMP-A,1
NT-000159,Masculino,34.0,Lima,Familia,Bianual,70,110.49,6223.31,Fibra,No,Sí,0,0,Transferencia,16,46.2,70.5,12,CMP-C,0
NT-000160,Masculino,61.0,Lima,Masivo,Anual,37,92.74,3039.99,Fibra,No,Sí,0,0,Tarjeta,5,46.7,42.3,11,CMP-C,1
NT-000161,Femenino,37.0,Norte,Masivo,Anual,30,125.67,3514.38,Fibra,Sí,Sí,2,1,Transferencia,6,65.8,39.6,11,CMP-A,0
NT-000162,Masculino,35.0,Lima,Masivo,Bianual,32,102.18,2909.73,Fibra,Sí,No,0,0,Efectivo,2,68.5,49.8,12,CMP-B,0
NT-000163,Femenino,18.0,Lima,Familia,Anual,12,201.87,764.15,DSL,No,No,24,0,Tarjeta,78,72.2,92.7,17,CMP-A,1
NT-000164,Femenino,26.0,Norte,Masivo,Mensual,13,105.96,1541.55,Fibra,No,Sí,1,0,Tarjeta,0,,50.0,18,CMP-B,0
NT-000165,Masculino,35.0,Lima,Familia,Bianual,37,86.81,2962.67,DSL,Sí,No,2,0,Tarjeta,4,74.7,80.0,9,CMP-B,1
NT-000166,Femenino,29.0,Sur,Masivo,Mensual,37,77.65,2756.6,DSL,Sí,No,4,1,Débito automático,6,62.7,54.9,8,CMP-D,0
NT-000167,Masculino,56.0,Lima,Joven digital,Mensual,19,75.47,1372.24,DSL,Sí,No,1,0,Débito automático,5,70.2,61.5,14,CMP-A,0
NT-000168,Masculino,36.0,Oriente,Masivo,Anual,26,116.0,2959.49,DSL,Sí,Sí,1,1,Tarjeta,3,53.3,66.0,17,CMP-C,0
NT-000169,Femenino,55.0,Sur,Masivo,Bianual,44,103.27,4119.44,Fibra,No,Sí,1,0,Débito automático,3,93.3,95.2,15,CMP-D,0
NT-000170,Masculino,39.0,Oriente,Joven digital,Mensual,17,72.0,1257.4,DSL,No,No,3,1,Transferencia,4,47.0,68.1,18,CMP-A,1
NT-000171,Femenino,,Sur,Familia,Mensual,6,98.59,574.41,DSL,No,Sí,3,1,Transferencia,1,66.5,69.0,17,CMP-D,1
NT-000172,Masculino,37.0,Lima,Masivo,Mensual,81,120.23,8276.85,Fibra,No,Sí,2,0,Transferencia,5,69.3,81.3,17,CMP-D,0
